YEAR,MO,DY,Date,UV
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0.02
2013,1,16,16/1/2013,0.17
2013,1,16,16/1/2013,0.45
2013,1,16,16/1/2013,0.85
2013,1,16,16/1/2013,1
2013,1,16,16/1/2013,0.83
2013,1,16,16/1/2013,0.4
2013,1,16,16/1/2013,0.1
2013,1,16,16/1/2013,0.02
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,16,16/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0.02
2013,1,17,17/1/2013,0.17
2013,1,17,17/1/2013,0.52
2013,1,17,17/1/2013,0.95
2013,1,17,17/1/2013,1.05
2013,1,17,17/1/2013,0.83
2013,1,17,17/1/2013,0.38
2013,1,17,17/1/2013,0.1
2013,1,17,17/1/2013,0.02
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,17,17/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0.02
2013,1,18,18/1/2013,0.15
2013,1,18,18/1/2013,0.38
2013,1,18,18/1/2013,0.75
2013,1,18,18/1/2013,0.8
2013,1,18,18/1/2013,0.67
2013,1,18,18/1/2013,0.4
2013,1,18,18/1/2013,0.1
2013,1,18,18/1/2013,0.02
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,18,18/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0.05
2013,1,19,19/1/2013,0.17
2013,1,19,19/1/2013,0.5
2013,1,19,19/1/2013,0.88
2013,1,19,19/1/2013,0.95
2013,1,19,19/1/2013,0.8
2013,1,19,19/1/2013,0.42
2013,1,19,19/1/2013,0.12
2013,1,19,19/1/2013,0.02
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,19,19/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0.02
2013,1,20,20/1/2013,0.15
2013,1,20,20/1/2013,0.42
2013,1,20,20/1/2013,0.7
2013,1,20,20/1/2013,0.83
2013,1,20,20/1/2013,0.65
2013,1,20,20/1/2013,0.38
2013,1,20,20/1/2013,0.1
2013,1,20,20/1/2013,0.02
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,20,20/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0.02
2013,1,21,21/1/2013,0.15
2013,1,21,21/1/2013,0.5
2013,1,21,21/1/2013,0.75
2013,1,21,21/1/2013,0.88
2013,1,21,21/1/2013,0.67
2013,1,21,21/1/2013,0.38
2013,1,21,21/1/2013,0.1
2013,1,21,21/1/2013,0.02
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,21,21/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0.02
2013,1,22,22/1/2013,0.12
2013,1,22,22/1/2013,0.38
2013,1,22,22/1/2013,0.58
2013,1,22,22/1/2013,0.62
2013,1,22,22/1/2013,0.58
2013,1,22,22/1/2013,0.3
2013,1,22,22/1/2013,0.1
2013,1,22,22/1/2013,0.02
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,22,22/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0.02
2013,1,23,23/1/2013,0.08
2013,1,23,23/1/2013,0.2
2013,1,23,23/1/2013,0.25
2013,1,23,23/1/2013,0.3
2013,1,23,23/1/2013,0.15
2013,1,23,23/1/2013,0.1
2013,1,23,23/1/2013,0.02
2013,1,23,23/1/2013,0.02
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,23,23/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0.02
2013,1,24,24/1/2013,0.05
2013,1,24,24/1/2013,0.15
2013,1,24,24/1/2013,0.33
2013,1,24,24/1/2013,0.35
2013,1,24,24/1/2013,0.2
2013,1,24,24/1/2013,0.1
2013,1,24,24/1/2013,0.05
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,24,24/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0.02
2013,1,25,25/1/2013,0.1
2013,1,25,25/1/2013,0.33
2013,1,25,25/1/2013,0.55
2013,1,25,25/1/2013,0.62
2013,1,25,25/1/2013,0.48
2013,1,25,25/1/2013,0.27
2013,1,25,25/1/2013,0.08
2013,1,25,25/1/2013,0.02
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,25,25/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0
2013,1,26,26/1/2013,0.02
2013,1,26,26/1/2013,0.05
